sample_id,task_id,risk_score,bsod_state,core_events,rk_events
2,2,10,NO,2639,0
3,3,10,NO,5897,0
4,4,10,NO,402,0
5,5,10,NO,4860,0
6,6,10,NO,600,0
7,7,10,NO,533,0
8,8,10,NO,1887,0
9,9,6,NO,4066,0
10,10,10,NO,46763,0
11,11,10,NO,392,0
12,12,10,NO,5743,0
13,13,10,NO,354,0
14,14,10,NO,521,0
15,15,10,NO,11775,0
16,16,10,NO,330,0
17,17,10,NO,5301,0
18,18,10,NO,61107,0
19,19,6,NO,76,0
20,20,10,NO,355,0
21,21,10,NO,318,0
22,22,10,NO,17508,2
23,23,10,NO,467,0
24,24,9,NO,3571,0
25,25,10,NO,4168,0
26,26,10,NO,10151,0
27,27,10,NO,319,0
28,28,10,NO,335,0
29,29,10,NO,85,0
30,30,10,NO,3110,0
31,31,10,NO,496,0
32,32,1,NO,Task Error,Task Error
33,33,10,NO,322,0
34,34,10,NO,285,0
35,35,10,NO,278,0
36,36,10,NO,99621,0
37,37,10,NO,5066,0
38,38,10,NO,22395,0
39,39,10,NO,488,0
40,40,10,NO,498,0
41,41,10,NO,99621,0
42,42,6,NO,76,0
43,43,10,NO,13078,0
44,44,10,NO,321,0
45,45,10,NO,3934,0
46,46,4,NO,27,0
47,47,10,NO,325,0
48,48,6,NO,76,0
49,49,10,NO,2972,0
50,50,10,NO,423,0
51,51,10,NO,4700,0
52,52,10,NO,42131,0
53,53,10,NO,5384,0
54,54,10,NO,3498,0
55,55,6,NO,76,0
56,56,10,NO,11163,0
57,57,10,NO,355,0
58,58,10,NO,3765,0
59,59,10,NO,490,0
60,60,10,NO,41692,0
61,61,10,NO,6569,0
62,62,9,NO,6570,7
63,63,10,NO,226,0
64,64,10,NO,273,0
65,65,6,NO,76,0
66,66,10,NO,360,0
67,67,10,NO,6513,0
68,68,4,NO,2228,0
69,69,6,NO,76,0
70,70,6,NO,76,0
71,71,10,NO,531,0
72,72,10,NO,495,0
73,73,6,NO,76,0
74,74,6,NO,76,0
75,75,10,NO,331,0
76,76,10,NO,87,0
77,77,10,NO,261,0
78,78,10,NO,755,0
79,79,10,NO,354,0
80,80,10,NO,492,0
81,81,10,NO,334,0
82,82,6,NO,76,0
83,83,6,NO,79,0
84,84,10,NO,12633,0
85,85,6,NO,3351,0
86,86,10,NO,289,0
87,87,10,NO,751,0
88,88,10,NO,5135,0
89,89,10,NO,359,0
90,90,10,NO,4085,0
91,91,10,NO,360,0
92,92,6,NO,78,0
93,93,6,NO,76,0
94,94,10,NO,5182,0
95,95,10,NO,4029,0
96,96,10,NO,355,0
97,97,10,NO,500,0
98,98,10,NO,330,0
99,99,10,NO,5529,0
100,100,10,NO,158,0
101,101,10,NO,360,0
102,102,10,NO,1428,0
103,103,10,NO,7823,0
104,104,10,NO,552,0
105,105,10,NO,19811,0
106,106,10,NO,217,0
107,107,10,NO,6251,0
108,108,10,NO,498,0
109,109,10,NO,502,0
110,110,10,NO,321,0
111,111,10,NO,355,0
112,112,6,NO,5183,0
113,113,10,NO,355,0
114,114,10,NO,359,0
115,115,10,NO,4287,0
116,116,10,NO,354,0
117,117,10,NO,354,0
118,118,10,NO,530,0
119,119,6,NO,76,0
120,120,6,NO,76,0
121,121,6,NO,76,0
122,122,8,NO,211,0
123,123,10,NO,511,0
124,124,10,NO,355,0
125,125,10,NO,485,0
126,126,10,NO,330,0
127,127,10,NO,3479,0
128,128,10,NO,932,0
129,129,10,NO,20666,0
130,130,10,NO,20601,0
131,131,6,NO,76,0
132,132,10,NO,266,0
133,133,10,NO,645,0
134,134,10,NO,357,0
135,135,10,NO,485,0
136,136,10,NO,140,0
137,137,10,NO,355,0
138,138,10,NO,345,0
139,139,10,NO,4576,0
140,140,10,NO,431,0
141,141,10,NO,356,0
142,142,10,NO,7109,0
143,143,6,NO,76,0
144,144,10,NO,355,0
145,145,10,NO,5461,0
146,146,10,NO,778,0
147,147,10,NO,12150,0
148,148,10,NO,5862,0
149,149,6,NO,76,0
150,150,6,NO,76,0
151,151,6,NO,76,0
152,152,10,NO,261,0
153,153,6,NO,76,0
154,154,10,NO,330,0
155,155,10,NO,8371,0
156,156,10,NO,355,0
157,157,10,NO,363,0
158,158,10,NO,325,0
159,159,10,NO,161,0
160,160,10,NO,5468,0
161,161,10,NO,6143,0
162,162,10,NO,551,0
163,163,10,NO,779,0
164,164,10,NO,4301,0
165,165,10,NO,761,0
166,166,6,NO,76,0
167,167,10,NO,496,0
168,168,10,NO,617,0
169,169,10,NO,160,0
170,170,10,NO,761,0
171,171,6,NO,76,0
172,172,10,NO,356,0
173,173,10,NO,4272,0
174,174,5,NO,2473,0
175,175,10,NO,14365,0
176,176,10,NO,6761,0
177,177,10,NO,356,0
178,178,10,NO,4838,0
179,179,4,NO,19,0
180,180,10,NO,489,0
181,181,10,NO,3523,0
182,182,10,NO,3799,0
183,183,10,NO,8621,0
184,184,10,NO,356,0
185,185,6,NO,76,0
186,186,10,NO,547,0
187,187,10,NO,6599,0
188,188,10,NO,19815,0
189,189,10,NO,354,0
190,190,10,NO,284,0
191,191,10,NO,9570,0
